"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2555.67967661269/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x9d2a1e08003b7c670d05c8301dda2ca77c5cd22a21431feb5ec80c7eba8bd112","20654163","1725174911","2024-09-01 07:15:11","0x5552976c0037f30f70ef0d34643f923950f0c888","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000128332603014714","0.327977025371509","2426.06","","","Claim"
"0xcf9fa3143aee454cc9c3805db9e2afad0fc3219e63e73d7fef6c2410079ede05","20654288","1725176411","2024-09-01 07:40:11","0x47d615588b0c2c3657a252082b675a6b34ac6a96","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000136224915307638","0.348147247500015","2426.06","","","Claim"
"0xcb8bc3ce57110290235809c6fc7f5e4efb02c8f8f1972ae80c0345d28a64dbf4","20654444","1725178283","2024-09-01 08:11:23","0x2b17580856286a13ed3efc06c58c60e26ab4536e","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00008106839096814","0.207184839212967","2426.06","","","Claim"
"0xa2549b5eef0fac4bb0d12a3f675931656fd548368a2445a52dea2fea84f3bbea","20654532","1725179339","2024-09-01 08:28:59","0x7b582efa8b44ab11105a5213af3c66efa7f06c5e","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.0000818888","0.209281541902201","2426.06","","","Claim"
"0xa01275296014ea9507bcbeadee6d52dc2330976dfd69f4e5ac9292e84e11eb84","20654537","1725179399","2024-09-01 08:29:59","0x52df904a51b17aef352cfcd09608ebb782cc456b","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.0000819196","0.209360256836241","2426.06","","","Claim"
"0x1f81222ee0b582a33aa377d95cb14e131fec5c8622b7c967d0b92535459bec78","20654539","1725179423","2024-09-01 08:30:23","0xd4e92b4b7089794e1078407a96abfec0893956d1","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.0000818776","0.209252918289823","2426.06","","","Claim"
"0x4d2289a17d055e40a45c5a8ffe4ff8bced24ad14f109760444e925e976dc3044","20654541","1725179447","2024-09-01 08:30:47","0x70fe45e39dbb6596096285036470141efd34188f","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000083336987060748","0.212982644141288","2426.06","","","Claim"
"0x1f7f63b6face84b13cd58cf155d292101be3855f66a57b411f862ff99869da99","20654546","1725179507","2024-09-01 08:31:47","0x8cdb424ffb92161d10d588517189e8fb981e7611","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000081629072273792","0.208617761030879","2426.06","","","Claim"
"0x0d236fc7443a83eba3fe2b130f4d603f0b70e743a78bd717d085da918cb1b6f3","20654548","1725179531","2024-09-01 08:32:11","0xff43e7e44203554cf4fb7e1df14184b7e59740cf","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000087472599370344","0.223551944471272","2426.06","","","Claim"
"0xe445f2dbc2b4198c9f747fef142fae30a1a1177f0ae224451178ee71a101f203","20654554","1725179603","2024-09-01 08:33:23","0x4f6a45781e89a90ce82ccfd985e25cba38702ad0","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000079143185015916","0.202264629487574","2426.06","","","Claim"
"0xd0010c79062335abe62be216b9d009749ecb62df91b0a56a89824d774fae2caa","20654559","1725179663","2024-09-01 08:34:23","0x74e9ba74a80d91e0a4f7d9432893361acc033796","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000078972161498963","0.201827548161075","2426.06","","","Claim"
"0xf86d6785588e1fe90bf32098d00adb5738a115598309b29c7b7a6a5eea5110cf","20654574","1725179843","2024-09-01 08:37:23","0x7a26024bee2d5a868d2997641d53e5c0765357bd","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00008238930690562","0.210560677228899","2426.06","","","Claim"
"0x5758590c152af212e4a4977e1898b6d8d63067b8492e0157b2b97aefd13363c5","20654629","1725180515","2024-09-01 08:48:35","0xd4e92b4b7089794e1078407a96abfec0893956d1","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.0000246533","0.0630059377714356","2426.06","Error(0)","execution reverted","Claim"
"0x7982a55be0657e58f470e6caea12222c762b3befe143634a4673eea9afa4243a","20654641","1725180659","2024-09-01 08:50:59","0x9d534d088b95539da1b329e93a0fa7a72e4a4043","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.0000818804","0.209260074192918","2426.06","","","Claim"
"0x01ab4d748b374df6fae832091cfba1e4f5361681193b9a85daa6c3b93c5decd3","20654647","1725180731","2024-09-01 08:52:11","0xb09dc76ae83a3d00a12c69eb360bb662dbd52fb1","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00008772691155046","0.22420188494151","2426.06","","","Claim"
"0x0523b53d22124486db47ba844a5b4203db4afe74301df2aaf2c08d40d0bcca9d","20654655","1725180839","2024-09-01 08:53:59","0xb09dc76ae83a3d00a12c69eb360bb662dbd52fb1","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000023312025862013","0.059578070716216","2426.06","Error(0)","execution reverted","Claim"
"0xc2679825ac0799c217783e194c3c7404cd203483190f8c1bd0b9315041d4f238","20654669","1725181007","2024-09-01 08:56:47","0x3497a99d018888da3d964517f5636e4ce63fdf76","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00008758232481565","0.223832367561848","2426.06","","","Claim"
"0x0357811ac28ab6f22c52b14150c517cc5f0584576288b70a87f64a8319c81733","20654801","1725182591","2024-09-01 09:23:11","0x6d3e7bd38e358920e8e3223e46b7e3d1ff930c07","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00013849287300324","0.353943420890083","2426.06","","","Claim"
"0xf5c665ee6c3de1ec4e5947fefa069d43c51fdb74f5dda08e38c4f10f121c867f","20654848","1725183155","2024-09-01 09:32:35","0x69393aaf2f829bf6bd7e45b18125b33d29739cf4","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000130569934235904","0.333694927303355","2426.06","","","Claim"
"0x62dc90fd1cab20a421523a9f390527944292099cbff1b749691a9902f7f73c30","20655096","1725186155","2024-09-01 10:22:35","0xdbe543ec575e5fe1f31c37bac798ec4151f57b19","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000125417484931072","0.320526917330219","2426.06","","","Claim"
"0x8ce1207f4cdc8342cd137241bc95fa75ad93e5ea37c5707d963e063afa2a02d8","20655287","1725188459","2024-09-01 11:00:59","0x309906b35793f467e8a2a783276101a3b221df4a","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.0001410267151965","0.360419109887141","2426.06","","","Claim"
"0xd0910cd69bd6d7e45652962d7985a07c4d7f7619907874d4f9897098e89a6a90","20655350","1725189227","2024-09-01 11:13:47","0x93e5cf312f3b30f6191a1481ef9a8690798ce2ec","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000126211310885814","0.322555682189521","2426.06","","","Claim"
"0x83065c1121b5d450c8ad5b1e4790b28ba14e47d7dce2fc3a1edff56dad93d496","20655708","1725193571","2024-09-01 12:26:11","0x2f3be3c471fe133c47c1f2a805b65b7f38eaa5eb","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00008040299321328","0.205484295694008","2426.06","","","Claim"
"0x1d65d9cdc1bab4ff779203c74a7bf57ac0f16edffa204e51a978d5d58366d461","20655828","1725195011","2024-09-01 12:50:11","0xde4d77c55c3bdfd7f6068dfac7d3772e0e1d1bca","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000131973076994402","0.337280910734635","2426.06","","","Claim"
"0x879ad1e69d4ca0f8ddd185fe1719d12e6d1c7a5443086198748b6fdd1cde0443","20655880","1725195635","2024-09-01 13:00:35","0x16883023ac7503960a5f6c7f0b8d2280c9888888","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00015809614555128","0.404043106136208","2426.06","","","Claim"
"0xbe170e2201085a9607ee614936a6ac4a947fcabb0184b0f531ef965540360b27","20655995","1725197027","2024-09-01 13:23:47","0xbb3e56f28724ecd8bfdadc68b4a510a58654312f","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00007551992411898","0.19300473525021","2426.06","","","Claim"
"0xc0dc549aac2a01f72cd659ad87c1c20143faebda0e0c59e7993fabbfac7c7835","20656186","1725199331","2024-09-01 14:02:11","0xb5dd375a167f34e489bf5a66b4297d5db136a8f7","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00025103930253816","0.6415760435278","2426.06","","","Claim"
"0x761fd89a607c974eaad90c49821bd85c2d7aa773fd7acef78036b146b034d9d4","20656203","1725199535","2024-09-01 14:05:35","0xba44ee98f8fb244f05175ceeb7d685eb36aa1497","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000185227913547666","0.473383214195142","2426.06","","","Claim"
"0x7ec7ba2b6a433744893963713ec9cc981231564df180c36a6d819fb01bff1439","20656216","1725199691","2024-09-01 14:08:11","0x5dab2de5d451811bcf826adf3edd0bd22e4838b7","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000171301224526652","0.437791058101632","2426.06","","","Claim"
"0x2ac5c221ab7de6759cd9bab1f11aa1b129d0c4ecab5fdd36954c662fa1ef9ebe","20656222","1725199763","2024-09-01 14:09:23","0x91c040b2f5b316c25f935f6bdc0e7810cd8c7607","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000166433929619788","0.425351811428079","2426.06","","","Claim"
"0x24a70a649cf2d4d2e729f1b4b6bfb9f7fe4b26e8f4f6e7f123eb9203c54ea3aa","20656229","1725199847","2024-09-01 14:10:47","0x9423fd08aff26728925c4117a52cf353a60eef87","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000184241139198805","0.470861335046356","2426.06","","","Claim"
"0x65f67c837de1482092e84b69bc34c368916436056494890a81ff3290fb98660d","20656240","1725199979","2024-09-01 14:12:59","0x7656aacd02533c2461010509f9c5672eba48ce97","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00021183076414422","0.541371578804719","2426.06","","","Claim"
"0xc25cf61bdc46ff75f781b8e773c9918999099fa514799a1bcec0a37db207d3f4","20656252","1725200123","2024-09-01 14:15:23","0xb42b96d2f4c89cbbe4d82a4b874d6cef3f29b517","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000193381352963672","0.494220793605122","2426.06","","","Claim"
"0xb77dd5d6d821af83593bde5176df168636fb830f0a206cbd69199219c193d514","20656257","1725200183","2024-09-01 14:16:23","0xd75ca132d581ea4a9a1debfc54576c7c9e8a1623","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000157323169705856","0.402067627477545","2426.06","","","Claim"
"0x0081b93612912e848890454880683dfc19b8b8f23ac7bdf3c1976d2f8054d74b","20656262","1725200243","2024-09-01 14:17:23","0x90ab22b10a981d8d8f41b2784843001eaca2f5e7","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000220483335385992","0.563484779277759","2426.06","","","Claim"
"0x56d50e9411824a055d8a0925c18e0d1ea8467fb80cca744c95463a2fe1e96da4","20656263","1725200255","2024-09-01 14:17:35","0xd75ca132d581ea4a9a1debfc54576c7c9e8a1623","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000049273","0.125926004705737","2426.06","Error(0)","execution reverted","Claim"
"0x72ab76d90b95ef82565c5e1e907b9111a2138b3f0afdfe372b689bb5bfc0c584","20656271","1725200351","2024-09-01 14:19:11","0xa4888cd8873e78cbdd77de74bf5033eba960d90f","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00013619631361008","0.34807415072285","2426.06","","","Claim"
"0xe9c0015a60e99f1fcb7aec7a227435ba906f14653190df7ef58683a169c4bfbe","20656275","1725200399","2024-09-01 14:19:59","0xd5ee4290e5a8b3a312c49ee02fed01bc6c247d27","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00020596937511705","0.52639174599126","2426.06","","","Claim"
"0xf9b149da2dd6840ea501cff5947ea7eeae0a2d0eaae02549287677c599305e5a","20656276","1725200411","2024-09-01 14:20:11","0xe497145776d5a8d8fd101abc070371a4eadcdd1a","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000202820395153432","0.518343961896181","2426.06","","","Claim"
"0xee4039423368dc661216260695ea8b0cf96f4ffea511ef5b686759e1716da833","20656281","1725200471","2024-09-01 14:21:11","0xc3c0549de7c37faf9863c266715be9e428e2f417","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000201683865970224","0.515439357360779","2426.06","","","Claim"
"0x7a1a342221489018b34618ca2d7d6d3ed7a41e666fb192a8de05015b945e9b6c","20656283","1725200495","2024-09-01 14:21:35","0x5737490a8444f95fcfb39747b814e211224c86ec","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.0001516963891545","0.387687378777685","2426.06","","","Claim"
"0xd9dc23437f2f285631af0362428d5e0c7a3c24f201f66d3d7c16aa440daaf497","20656286","1725200531","2024-09-01 14:22:11","0x193d82109ba073b481c589ca0abc10553dbb3cd7","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00020350709035082","0.520098934856173","2426.06","","","Claim"
"0x94569df1be48951408fb7872840391665948bc1af4da90cb0815cdd4418f699f","20656289","1725200567","2024-09-01 14:22:47","0x74bfbc37ef64f1e2e391d8cdfc33ec449dcfaa1f","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00013518092311272","0.345479137864921","2426.06","","","Claim"
"0xb5b984fc0e8a1ce0de80b7edf9ed9d5db83ebd86d41ed322f4556f83c3d0a572","20656290","1725200579","2024-09-01 14:22:59","0xb826be6a9e0435613c391c19d35abe7b21257307","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.0002040027663527","0.521365723940363","2426.06","","","Claim"
"0x6691cff37281241adaa64b3794051045470387037354f1a3790a0c570c6d7545","20656291","1725200591","2024-09-01 14:23:11","0x3b0ac783b2f1fc38593dc1c9c5c16c8d139c2380","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00014961528078358","0.382368732409297","2426.06","","","Claim"
"0xf48487c7b7def79d107f9fa37418f9eed477bb3cbbc3fac7cefca83f110b9f9e","20656294","1725200627","2024-09-01 14:23:47","0x8954fc47b120d421f9771694c46b6d745533a9c7","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000203103192072214","0.519066700234121","2426.06","","","Claim"
"0x7a30f669b6fac2d70614571b17a937545a144fb8d6326dd6d19a9798a49515a1","20656298","1725200687","2024-09-01 14:24:47","0xcd6b9bffb364b19afd9392739fba1b2d86a8ca97","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00018451549492121","0.471562500390268","2426.06","","","Claim"
"0xb22a8e979fbb7826873cdad0221170a2382bd6af567bc6eb341bb7bfc09bfe1d","20656306","1725200783","2024-09-01 14:26:23","0xb299f1f47eb4bade54595149fbb6fd9349a44967","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000214340879952896","0.547786630762897","2426.06","","","Claim"
"0x01ab39065c07e3943074e3516041deb95636019e0671013a157ad44b5dfe7e93","20656309","1725200819","2024-09-01 14:26:59","0xbe65154f3314eb9b5058ada89e6aa2bedbd1ec51","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000144730994854842","0.369886062126456","2426.06","","","Claim"
"0x1503bf3dca73fc4d5d049cc2a63d40a825654c988a9dbab954a472009a14a5e0","20656311","1725200843","2024-09-01 14:27:23","0x0bcf4e23ea37e7f4d5d3ca44185c76cb6e3934a7","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00021890342989188","0.559447046915489","2426.06","","","Claim"
"0x6f15ee47791a3325b8741e9b49ace4b8b3489944fea9e59f5c02a28728d10bd2","20656311","1725200843","2024-09-01 14:27:23","0x902cbd930ac3b5b722d069b22df7908d46e8692d","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00015448188941248","0.394806225176204","2426.06","","","Claim"
"0x640cd178d99bcda40baf33c3fa1c6688406dc440d9d2484005d3e48df8e63692","20656314","1725200879","2024-09-01 14:27:59","0x03fd67e29a62b7371c8fc303fa4b04ff892c5518","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000168013927180709","0.429389779083622","2426.06","","","Claim"
"0x4df3ce6af456f31cd6b494ff7dd19b005eb485343c275f5b71b6debb6524777e","20656317","1725200915","2024-09-01 14:28:35","0x0ab1e0665c91ee46f957bc3c6097db231e2d74c7","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000277892555185488","0.710204355569522","2426.06","","","Claim"
"0xe38cd380ba4d5cc6a8bdf5a5dc1391507c41eaf59a30cc15561ccb8e1fd09e18","20656318","1725200927","2024-09-01 14:28:47","0x984a925efcbc43a57ef15bdca8e0f766cf62105f","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00015386123124266","0.393220021705472","2426.06","","","Claim"
"0x8762e0ecf13d08eac2f21c3d2c8d3684213540cb1a691a9670c02380904d6e00","20656320","1725200951","2024-09-01 14:29:11","0xe26d0c955eaa5ba049c282fbae84d605beeb5254","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000150762363052034","0.385300307250187","2426.06","","","Claim"
"0xe723f26711f5b36f88ab42dac82a1dc879daf403b0fc98913f9f3e0c2390875f","20656329","1725201059","2024-09-01 14:30:59","0x83cb340deccc6801628fb1edc837da705eea09c9","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00029928216611872","0.764869349522236","2426.06","","","Claim"
"0xe70c86ea83558e9c63e7af1bf7fdbcc7aa982d7361c5062359f60921414b6b91","20656333","1725201107","2024-09-01 14:31:47","0x053853b246d24ffe20c57a8eea1f3abf0cb1c9c9","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000257829460476672","0.658929512172245","2426.06","","","Claim"
"0x236c0d34718f31b217008855e99f801af8057055964d100b9183c6043a486d6a","20656344","1725201239","2024-09-01 14:33:59","0xb3acf69ae1a26ef06d24c312229044b871715fc9","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00021777181860995","0.556555010960434","2426.06","","","Claim"
"0xd575740218d8e0c2e9666ecac6474d4684d4a3355fb1912b57c92fd288e0877c","20656348","1725201287","2024-09-01 14:34:47","0xfb48b7218ae153b60040b009fb065972a4d47f29","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00021538345096438","0.550451108308372","2426.06","","","Claim"
"0x8b60f4271718200e5eac0c256d64c7775c8879e6b16fb98f153f4a486d54b68e","20656351","1725201323","2024-09-01 14:35:23","0x2954bbd623068f9c8837c1bd67ddcef423a5dea8","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00020181941946063","0.515785788661304","2426.06","","","Claim"
"0x3e6d28d94698ea7f15f311696f594af77df30c857d90b59b975f4b1a644d78fb","20656352","1725201335","2024-09-01 14:35:35","0xd011265699922a69c0e6d54608a5a9f56c414a19","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000210639339319136","0.53832667859304","2426.06","","","Claim"
"0x0929d444e5e066cf860bc5176dc256c2c70e0277f43e96907faa0e3d5435bbaa","20656359","1725201419","2024-09-01 14:36:59","0x3450fc80db88a561b0a87ac9ce2f3a70b9aaa759","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000224665287182504","0.574172508492679","2426.06","","","Claim"
"0x77becd62c18d560bc682e1d20deab430a7509fd7c42a6e08bb3fbef07884fd65","20656368","1725201527","2024-09-01 14:38:47","0x0c2eaebce8f42d3ba6c50622b80e9b4965b1d609","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000214596071047386","0.548438817456737","2426.06","","","Claim"
"0xb08a7c5a1fe626b3d953544574ee57380fd8d395cd4467144cba5f20e3738eec","20656385","1725201731","2024-09-01 14:42:11","0xc93b26a1de1e652344ae84dfefe3accd1ff2c769","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00020835823592501","0.53249690900842","2426.06","","","Claim"
"0x757cebffb930aa379334d5651d0a4cb3b21d2c724b87f6f3927de5a4b0a15c0b","20656393","1725201827","2024-09-01 14:43:47","0x893c178566938e59cc1eb56df0b1af941654e089","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00019445587914492","0.496966938328526","2426.06","","","Claim"
"0xaee00cbf9bc84b7cc53d49a87d492f70a687149e80f33b5a92c517852c573479","20656398","1725201887","2024-09-01 14:44:47","0x4316303f6a71584d6104ccdebc25b553df3b13d9","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000191505282558384","0.489426158598433","2426.06","","","Claim"
"0x387fcde64d825c37da4ebed170593380957efcbf75a331034c1a4863ed08dbe3","20656402","1725201935","2024-09-01 14:45:35","0x10ff1b802d34d81ec91911a6cc1d92fc7ef9b239","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000187031048699404","0.477991450056625","2426.06","","","Claim"
"0xa633aa015ec02ce08a659ce312f202e8f6425176bafbd4edb44f1f25163b7bf7","20656406","1725201983","2024-09-01 14:46:23","0x73e042bffdfa21697e69e7e2d5b1f984d507bd2b","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00017576391783939","0.449196272703952","2426.06","","","Claim"
"0x8dfbbac1517239f0556655ae68f7d4d58c14b7d48ae4ac854eb99b4946c857fb","20656406","1725201983","2024-09-01 14:46:23","0x7d8d1bb786bf9637aeb1b01cdedbeb2a5c376939","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000175736884168356","0.449127183300306","2426.06","","","Claim"
"0x833255030a6aa631d0e7edecea400b9e0eef8d8df0a797996b7e7e2e4ff901e2","20656413","1725202067","2024-09-01 14:47:47","0x02612bb212cbca348169aa803c1e1e48a75ca789","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.00019891173491361","0.508354678358484","2426.06","","","Claim"
"0x089aa3321c4894a99a8a49f5f12c76f255fb46abfb846271fc04bbab78604ee0","20656420","1725202151","2024-09-01 14:49:11","0xd22af9559e86361385f15d47332c7d13b5b33d69","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","","0","0","0","0.000187497061795232","0.479182430254668","2426.06","","","Claim"
